Position,Const,Created,Modified,Description,Name,Known For,Birth Date
48,nm0842770,2/16/2017,2/16/2017,,Tilda Swinton,We Need to Talk About Kevin,11/5/1960
49,nm0000170,7/4/2016,7/4/2016,,Milla Jovovich,The Fifth Element,12/17/1975
50,nm0001159,2/17/2017,2/17/2017,,Faye Dunaway,Bonnie and Clyde,1/14/1941
51,nm0424060,7/4/2016,7/4/2016,,Scarlett Johansson,Lost in Translation,11/22/1984
52,nm0001401,7/4/2016,7/4/2016,,Angelina Jolie,"Girl, Interrupted",6/4/1975
53,nm0488953,7/4/2016,7/4/2016,,Brie Larson,Room,10/1/1989
54,nm0683253,7/4/2016,7/4/2016,,Rosamund Pike,Gone Girl,
55,nm0447695,7/4/2016,7/4/2016,,Anna Kendrick,Up in the Air,8/9/1985
56,nm1659547,7/4/2016,7/4/2016,,Carey Mulligan,Never Let Me Go,5/28/1985
57,nm0001463,2/16/2017,2/16/2017,,Janet Leigh,Psycho,7/6/1927
58,nm0880521,2/16/2017,2/16/2017,,Liv Ullmann,Viskningar och rop,12/16/1938
59,nm0000473,2/16/2017,2/16/2017,,Diane Keaton,Annie Hall,1/5/1946
60,nm0000506,2/16/2017,2/16/2017,,Julia Louis-Dreyfus,Seinfeld,1/13/1961
61,nm1289434,2/16/2017,2/16/2017,,Emily Blunt,Edge of Tomorrow,2/23/1983
62,nm0001625,2/16/2017,2/16/2017,,Amanda Plummer,Pulp Fiction,3/23/1957
63,nm0428065,7/4/2016,7/4/2016,,Felicity Jones,Rogue One,10/17/1983
64,nm0156039,2/16/2017,2/16/2017,,Virginia Cherrill,City Lights,4/12/1908
65,nm0000038,2/16/2017,2/16/2017,,Grace Kelly,Dial M for Murder,11/12/1929
66,nm0841797,2/16/2017,2/16/2017,,Gloria Swanson,Sunset Blvd.,1899-03-27
67,nm0001735,2/16/2017,2/16/2017,,Talia Shire,Rocky,4/25/1946
68,nm0205626,2/16/2017,2/16/2017,,Viola Davis,Fences,8/11/1965
69,nm0915208,7/4/2016,7/4/2016,,Naomi Watts,Mulholland Dr.,9/28/1968
70,nm0000402,2/16/2017,2/16/2017,,Carrie Fisher,Star Wars,10/21/1956
71,nm0001749,2/16/2017,2/16/2017,,Maggie Smith,Gosford Park,12/28/1934
72,nm0267812,2/16/2017,2/16/2017,,Vera Farmiga,The Departed,8/6/1973
73,nm2794962,2/16/2017,2/16/2017,,Hailee Steinfeld,True Grit,12/11/1996
74,nm0647634,7/4/2016,7/4/2016,,Elizabeth Olsen,Martha Marcy May Marlene,2/16/1989
75,nm0680983,10/27/2016,10/27/2016,,Elliot Page,Juno,2/21/1987
76,nm0000232,2/16/2017,2/16/2017,,Sharon Stone,Basic Instinct,3/10/1958
77,nm1913734,7/12/2016,7/12/2016,,Rooney Mara,The Girl with the Dragon Tattoo,4/17/1985
78,nm5397459,2/16/2017,2/16/2017,,Daisy Ridley,Star Wars: Episode VII - The Force Awakens,4/10/1992
79,nm0000107,2/16/2017,2/16/2017,,Kim Basinger,L.A. Confidential,12/8/1953
80,nm0006969,7/4/2016,7/4/2016,,Elizabeth Banks,The Hunger Games,2/10/1974
81,nm1659348,2/16/2017,2/16/2017,,Lauren Cohan,The Boy,1/7/1982
82,nm0002536,2/16/2017,2/16/2017,,Emmy Rossum,The Phantom of the Opera,9/12/1986
83,nm0544718,2/16/2017,2/16/2017,,Kate Mara,Fantastic Four,2/27/1983
84,nm1385871,2/16/2017,2/16/2017,,Olga Kurylenko,Oblivion,11/14/1979
85,nm0000193,10/27/2017,10/27/2017,,Demi Moore,G.I. Jane,11/11/1962
86,nm0000260,2/16/2017,2/16/2017,,Joan Allen,Room,8/20/1956
87,nm1631269,7/4/2016,7/4/2016,,ChloÃ« Grace Moretz,Kick-Ass,2/10/1997
88,nm0515116,2/16/2017,2/16/2017,,Blake Lively,Gossip Girl,8/25/1987
89,nm0001838,2/16/2017,2/16/2017,,Rachel Weisz,The Constant Gardener,3/7/1970
90,nm2546012,10/27/2017,10/27/2017,,Kaya Scodelario,Pirates of the Caribbean: Dead Men Tell No Tales,3/13/1992
91,nm1817670,2/16/2017,2/16/2017,,Katherine Parkinson,The Boat That Rocked,3/9/1978
92,nm0000201,2/16/2017,2/16/2017,,Michelle Pfeiffer,What Lies Beneath,4/29/1958
93,nm0350454,2/16/2017,2/16/2017,,Maggie Gyllenhaal,Secretary,11/16/1977
94,nm0935395,10/27/2017,10/27/2017,,Katheryn Winnick,Vikings,12/17/1977
95,nm1431940,2/16/2017,2/16/2017,,Evangeline Lilly,Ant-Man,8/3/1979
96,nm0818055,2/16/2017,2/16/2017,,Octavia Spencer,Hidden Figures,5/25/1970
97,nm0004989,10/27/2017,10/27/2017,,Alyson Hannigan,Buffy the Vampire Slayer,3/24/1974
98,nm0000139,2/16/2017,2/16/2017,,Cameron Diaz,Vanilla Sky,8/30/1972
99,nm0000098,2/16/2017,2/16/2017,,Jennifer Aniston,Friends,2/11/1969
100,nm0000379,7/4/2016,7/4/2016,,Kirsten Dunst,Spider-Man,4/30/1982
,,,,,,,
"Of course, here are 5 movies for each of the actresses you listed:",,,,,,,
,,,,,,,
**Cate Blanchett**:,,,,,,,
"1. ""Blue Jasmine"" (2013)",,,,,,,
"2. ""Carol"" (2015)",,,,,,,
"3. ""The Aviator"" (2004)",,,,,,,
"4. ""Elizabeth"" (1998)",,,,,,,
"5. ""Lord of the Rings: The Fellowship of the Ring"" (2001)",,,,,,,
,,,,,,,
**Natalie Portman**:,,,,,,,
"1. ""Black Swan"" (2010)",,,,,,,
"2. ""V for Vendetta"" (2005)",,,,,,,
"3. ""Leon: The Professional"" (1994)",,,,,,,
"4. ""Closer"" (2004)",,,,,,,
"5. ""Annihilation"" (2018)",,,,,,,
,,,,,,,
**Uma Thurman**:,,,,,,,
"1. ""Pulp Fiction"" (1994)",,,,,,,
"2. ""Kill Bill: Volume 1"" (2003)",,,,,,,
"3. ""Kill Bill: Volume 2"" (2004)",,,,,,,
"4. ""Gattaca"" (1997)",,,,,,,
"5. ""Nymphomaniac: Vol. I"" (2013)",,,,,,,
,,,,,,,
**Helena Bonham Carter**:,,,,,,,
"1. ""Fight Club"" (1999)",,,,,,,
"2. ""Sweeney Todd: The Demon Barber of Fleet Street"" (2007)",,,,,,,
"3. ""The King's Speech"" (2010)",,,,,,,
"4. ""Harry Potter and the Deathly Hallows – Part 2"" (2011)",,,,,,,
"5. ""Alice in Wonderland"" (2010)",,,,,,,
,,,,,,,
**Frances McDormand**:,,,,,,,
"1. ""Fargo"" (1996)",,,,,,,
"2. ""Three Billboards Outside Ebbing, Missouri"" (2017)",,,,,,,
"3. ""Nomadland"" (2020)",,,,,,,
"4. ""Almost Famous"" (2000)",,,,,,,
"5. ""Burn After Reading"" (2008)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Meryl Streep**:,,,,,,,
"1. ""The Devil Wears Prada"" (2006)",,,,,,,
"2. ""Sophie's Choice"" (1982)",,,,,,,
"3. ""Mamma Mia!"" (2008)",,,,,,,
"4. ""The Iron Lady"" (2011)",,,,,,,
"5. ""Kramer vs. Kramer"" (1979)",,,,,,,
,,,,,,,
**Sigourney Weaver**:,,,,,,,
"1. ""Aliens"" (1986)",,,,,,,
"2. ""Avatar"" (2009)",,,,,,,
"3. ""Ghostbusters"" (1984)",,,,,,,
"4. ""Gorillas in the Mist"" (1988)",,,,,,,
"5. ""Working Girl"" (1988)",,,,,,,
,,,,,,,
**Charlize Theron**:,,,,,,,
"1. ""Monster"" (2003)",,,,,,,
"2. ""Mad Max: Fury Road"" (2015)",,,,,,,
"3. ""Atomic Blonde"" (2017)",,,,,,,
"4. ""North Country"" (2005)",,,,,,,
"5. ""Tully"" (2018)",,,,,,,
,,,,,,,
**Julianne Moore**:,,,,,,,
"1. ""Still Alice"" (2014)",,,,,,,
"2. ""Boogie Nights"" (1997)",,,,,,,
"3. ""The Hours"" (2002)",,,,,,,
"4. ""Far from Heaven"" (2002)",,,,,,,
"5. ""Magnolia"" (1999)",,,,,,,
,,,,,,,
**Robin Wright**:,,,,,,,
"1. ""Forrest Gump"" (1994)",,,,,,,
"2. ""The Princess Bride"" (1987)",,,,,,,
"3. ""House of Cards"" (TV Series, 2013-2018)",,,,,,,
"4. ""Wonder Woman"" (2017)",,,,,,,
"5. ""The Congress"" (2013)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Jodie Foster**:,,,,,,,
"1. ""The Silence of the Lambs"" (1991)",,,,,,,
"2. ""Panic Room"" (2002)",,,,,,,
"3. ""Taxi Driver"" (1976)",,,,,,,
"4. ""Contact"" (1997)",,,,,,,
"5. ""Nell"" (1994)",,,,,,,
,,,,,,,
**Rachel McAdams**:,,,,,,,
"1. ""The Notebook"" (2004)",,,,,,,
"2. ""Mean Girls"" (2004)",,,,,,,
"3. ""Spotlight"" (2015)",,,,,,,
"4. ""Midnight in Paris"" (2011)",,,,,,,
"5. ""Wedding Crashers"" (2005)",,,,,,,
,,,,,,,
**Emma Stone**:,,,,,,,
"1. ""La La Land"" (2016)",,,,,,,
"2. ""Birdman"" (2014)",,,,,,,
"3. ""Easy A"" (2010)",,,,,,,
"4. ""The Help"" (2011)",,,,,,,
"5. ""The Favourite"" (2018)",,,,,,,
,,,,,,,
**Ellen Burstyn**:,,,,,,,
"1. ""Requiem for a Dream"" (2000)",,,,,,,
"2. ""Alice Doesn't Live Here Anymore"" (1974)",,,,,,,
"3. ""The Exorcist"" (1973)",,,,,,,
"4. ""The Last Picture Show"" (1971)",,,,,,,
"5. ""Interstellar"" (2014)",,,,,,,
,,,,,,,
**Saoirse Ronan**:,,,,,,,
"1. ""Lady Bird"" (2017)",,,,,,,
"2. ""Brooklyn"" (2015)",,,,,,,
"3. ""Atonement"" (2007)",,,,,,,
"4. ""Little Women"" (2019)",,,,,,,
"5. ""Hanna"" (2011)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Marlene Dietrich**:,,,,,,,
"1. ""The Blue Angel"" (1930)",,,,,,,
"2. ""Morocco"" (1930)",,,,,,,
"3. ""Shanghai Express"" (1932)",,,,,,,
"4. ""Destry Rides Again"" (1939)",,,,,,,
"5. ""Witness for the Prosecution"" (1957)",,,,,,,
,,,,,,,
**Nicole Kidman**:,,,,,,,
"1. ""Moulin Rouge!"" (2001)",,,,,,,
"2. ""The Hours"" (2002)",,,,,,,
"3. ""Eyes Wide Shut"" (1999)",,,,,,,
"4. ""Rabbit Hole"" (2010)",,,,,,,
"5. ""Big Little Lies"" (TV Series, 2017-2019)",,,,,,,
,,,,,,,
**Sally Hawkins**:,,,,,,,
"1. ""The Shape of Water"" (2017)",,,,,,,
"2. ""Happy-Go-Lucky"" (2008)",,,,,,,
"3. ""Blue Jasmine"" (2013)",,,,,,,
"4. ""Maudie"" (2016)",,,,,,,
"5. ""Paddington"" (2014)",,,,,,,
,,,,,,,
**Jennifer Lawrence**:,,,,,,,
"1. ""Silver Linings Playbook"" (2012)",,,,,,,
"2. ""The Hunger Games"" series (2012-2015)",,,,,,,
"3. ""Winter's Bone"" (2010)",,,,,,,
"4. ""Joy"" (2015)",,,,,,,
"5. ""American Hustle"" (2013)",,,,,,,
,,,,,,,
**Marilyn Monroe**:,,,,,,,
"1. ""Some Like It Hot"" (1959)",,,,,,,
"2. ""Gentlemen Prefer Blondes"" (1953)",,,,,,,
"3. ""The Seven Year Itch"" (1955)",,,,,,,
"4. ""Niagara"" (1953)",,,,,,,
"5. ""Bus Stop"" (1956)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Julie Delpy**:,,,,,,,
"1. ""Before Sunrise"" (1995)",,,,,,,
"2. ""Before Sunset"" (2004)",,,,,,,
"3. ""Before Midnight"" (2013)",,,,,,,
"4. ""Europa Europa"" (1990)",,,,,,,
"5. ""2 Days in Paris"" (2007)",,,,,,,
,,,,,,,
**Keira Knightley**:,,,,,,,
"1. ""Pride & Prejudice"" (2005)",,,,,,,
"2. ""Pirates of the Caribbean: The Curse of the Black Pearl"" (2003)",,,,,,,
"3. ""Atonement"" (2007)",,,,,,,
"4. ""The Imitation Game"" (2014)",,,,,,,
"5. ""Anna Karenina"" (2012)",,,,,,,
,,,,,,,
**Adele Exarchopoulos**:,,,,,,,
"1. ""Blue Is the Warmest Color"" (2013)",,,,,,,
"2. ""The Anarchists"" (2015)",,,,,,,
"3. ""Racer and the Jailbird"" (2017)",,,,,,,
"4. ""Orphan"" (2016)",,,,,,,
"5. ""Sibyl"" (2019)",,,,,,,
,,,,,,,
**Anne Hathaway**:,,,,,,,
"1. ""Les Misérables"" (2012)",,,,,,,
"2. ""The Devil Wears Prada"" (2006)",,,,,,,
"3. ""Rachel Getting Married"" (2008)",,,,,,,
"4. ""The Dark Knight Rises"" (2012)",,,,,,,
"5. ""Colossal"" (2016)",,,,,,,
,,,,,,,
**Kim Novak**:,,,,,,,
"1. ""Vertigo"" (1958)",,,,,,,
"2. ""Picnic"" (1955)",,,,,,,
"3. ""Bell, Book and Candle"" (1958)",,,,,,,
"4. ""Pal Joey"" (1957)",,,,,,,
"5. ""Kiss Me, Stupid"" (1964)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Ingrid Bergman**:,,,,,,,
"1. ""Casablanca"" (1942)",,,,,,,
"2. ""Notorious"" (1946)",,,,,,,
"3. ""Gaslight"" (1944)",,,,,,,
"4. ""Anastasia"" (1956)",,,,,,,
"5. ""Autumn Sonata"" (1978)",,,,,,,
,,,,,,,
**Amy Adams**:,,,,,,,
"1. ""Arrival"" (2016)",,,,,,,
"2. ""American Hustle"" (2013)",,,,,,,
"3. ""Enchanted"" (2007)",,,,,,,
"4. ""Junebug"" (2005)",,,,,,,
"5. ""Doubt"" (2008)",,,,,,,
,,,,,,,
**Margot Robbie**:,,,,,,,
"1. ""I, Tonya"" (2017)",,,,,,,
"2. ""The Wolf of Wall Street"" (2013)",,,,,,,
"3. ""Once Upon a Time in Hollywood"" (2019)",,,,,,,
"4. ""Birds of Prey"" (2020)",,,,,,,
"5. ""Suicide Squad"" (2016)",,,,,,,
,,,,,,,
**Melanie Laurent**:,,,,,,,
"1. ""Inglourious Basterds"" (2009)",,,,,,,
"2. ""Beginners"" (2010)",,,,,,,
"3. ""Now You See Me"" (2013)",,,,,,,
"4. ""Paris"" (2008)",,,,,,,
"5. ""Enemy"" (2013)",,,,,,,
,,,,,,,
**Emma Watson**:,,,,,,,
"1. ""Harry Potter"" series (2001-2011)",,,,,,,
"2. ""The Perks of Being a Wallflower"" (2012)",,,,,,,
"3. ""Beauty and the Beast"" (2017)",,,,,,,
"4. ""Little Women"" (2019)",,,,,,,
"5. ""Noah"" (2014)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Jennifer Connelly**:,,,,,,,
"1. ""A Beautiful Mind"" (2001)",,,,,,,
"2. ""Requiem for a Dream"" (2000)",,,,,,,
"3. ""Labyrinth"" (1986)",,,,,,,
"4. ""House of Sand and Fog"" (2003)",,,,,,,
"5. ""Blood Diamond"" (2006)",,,,,,,
,,,,,,,
**Kate Winslet**:,,,,,,,
"1. ""Titanic"" (1997)",,,,,,,
"2. ""Eternal Sunshine of the Spotless Mind"" (2004)",,,,,,,
"3. ""The Reader"" (2008)",,,,,,,
"4. ""Sense and Sensibility"" (1995)",,,,,,,
"5. ""Revolutionary Road"" (2008)",,,,,,,
,,,,,,,
**Marion Cotillard**:,,,,,,,
"1. ""La Vie en Rose"" (2007)",,,,,,,
"2. ""Inception"" (2010)",,,,,,,
"3. ""Rust and Bone"" (2012)",,,,,,,
"4. ""Midnight in Paris"" (2011)",,,,,,,
"5. ""Two Days, One Night"" (2014)",,,,,,,
,,,,,,,
**Shelley Duvall**:,,,,,,,
"1. ""The Shining"" (1980)",,,,,,,
"2. ""Popeye"" (1980)",,,,,,,
"3. ""Nashville"" (1975)",,,,,,,
"4. ""3 Women"" (1977)",,,,,,,
"5. ""Annie Hall"" (1977)",,,,,,,
,,,,,,,
**Diane Kruger**:,,,,,,,
"1. ""Inglourious Basterds"" (2009)",,,,,,,
"2. ""Unknown"" (2011)",,,,,,,
"3. ""Joyeux Noël"" (2005)",,,,,,,
"4. ""Farewell, My Queen"" (2012)",,,,,,,
"5. ""National Treasure"" (2004)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Mia Farrow**:,,,,,,,
"1. ""Rosemary's Baby"" (1968)",,,,,,,
"2. ""The Great Gatsby"" (1974)",,,,,,,
"3. ""Hannah and Her Sisters"" (1986)",,,,,,,
"4. ""Purple Rose of Cairo"" (1985)",,,,,,,
"5. ""Crimes and Misdemeanors"" (1989)",,,,,,,
,,,,,,,
**Bette Davis**:,,,,,,,
"1. ""All About Eve"" (1950)",,,,,,,
"2. ""Whatever Happened to Baby Jane?"" (1962)",,,,,,,
"3. ""Jezebel"" (1938)",,,,,,,
"4. ""Now, Voyager"" (1942)",,,,,,,
"5. ""Dangerous"" (1935)",,,,,,,
,,,,,,,
**Jennifer Jason Leigh**:,,,,,,,
"1. ""The Hateful Eight"" (2015)",,,,,,,
"2. ""Fast Times at Ridgemont High"" (1982)",,,,,,,
"3. ""Single White Female"" (1992)",,,,,,,
"4. ""Dolores Claiborne"" (1995)",,,,,,,
"5. ""Margot at the Wedding"" (2007)",,,,,,,
,,,,,,,
**Hilary Swank**:,,,,,,,
"1. ""Million Dollar Baby"" (2004)",,,,,,,
"2. ""Boys Don't Cry"" (1999)",,,,,,,
"3. ""Freedom Writers"" (2007)",,,,,,,
"4. ""Insomnia"" (2002)",,,,,,,
"5. ""The Homesman"" (2014)",,,,,,,
,,,,,,,
**Alicia Vikander**:,,,,,,,
"1. ""The Danish Girl"" (2015)",,,,,,,
"2. ""Ex Machina"" (2014)",,,,,,,
"3. ""Tomb Raider"" (2018)",,,,,,,
"4. ""The Light Between Oceans"" (2016)",,,,,,,
"5. ""A Royal Affair"" (2012)",,,,,,,
,,,,,,,
"Certainly, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Jessica Chastain**:,,,,,,,
"1. ""Zero Dark Thirty"" (2012)",,,,,,,
"2. ""The Help"" (2011)",,,,,,,
"3. ""Interstellar"" (2014)",,,,,,,
"4. ""Molly's Game"" (2017)",,,,,,,
"5. ""A Most Violent Year"" (2014)",,,,,,,
,,,,,,,
**Julia Roberts**:,,,,,,,
"1. ""Pretty Woman"" (1990)",,,,,,,
"2. ""Erin Brockovich"" (2000)",,,,,,,
"3. ""Ocean's Eleven"" (2001)",,,,,,,
"4. ""My Best Friend's Wedding"" (1997)",,,,,,,
"5. ""Steel Magnolias"" (1989)",,,,,,,
,,,,,,,
**Bibi Andersson**:,,,,,,,
"1. ""Persona"" (1966)",,,,,,,
"2. ""Wild Strawberries"" (1957)",,,,,,,
"3. ""The Seventh Seal"" (1957)",,,,,,,
"4. ""Cries and Whispers"" (1972)",,,,,,,
"5. ""The Passion of Anna"" (1969)",,,,,,,
,,,,,,,
**Vivien Leigh**:,,,,,,,
"1. ""Gone with the Wind"" (1939)",,,,,,,
"2. ""A Streetcar Named Desire"" (1951)",,,,,,,
"3. ""Waterloo Bridge"" (1940)",,,,,,,
"4. ""That Hamilton Woman"" (1941)",,,,,,,
"5. ""Ship of Fools"" (1965)",,,,,,,
,,,,,,,
**Eva Green**:,,,,,,,
"1. ""Casino Royale"" (2006)",,,,,,,
"2. ""Penny Dreadful"" (TV Series, 2014-2016)",,,,,,,
"3. ""300: Rise of an Empire"" (2014)",,,,,,,
"4. ""Miss Peregrine's Home for Peculiar Children"" (2016)",,,,,,,
"5. ""The Dreamers"" (2003)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Audrey Tautou**:,,,,,,,
"1. ""Amélie"" (2001)",,,,,,,
"2. ""The Da Vinci Code"" (2006)",,,,,,,
"3. ""Coco Before Chanel"" (2009)",,,,,,,
"4. ""A Very Long Engagement"" (2004)",,,,,,,
"5. ""The Fabulous Destiny of Amélie Poulain"" (1995)",,,,,,,
,,,,,,,
**Lea Seydoux**:,,,,,,,
"1. ""Blue Is the Warmest Color"" (2013)",,,,,,,
"2. ""Spectre"" (2015)",,,,,,,
"3. ""The Grand Budapest Hotel"" (2014)",,,,,,,
"4. ""Inglourious Basterds"" (2009)",,,,,,,
"5. ""Midnight in Paris"" (2011)",,,,,,,
,,,,,,,
**Tilda Swinton**:,,,,,,,
"1. ""Michael Clayton"" (2007)",,,,,,,
"2. ""Snowpiercer"" (2013)",,,,,,,
"3. ""We Need to Talk About Kevin"" (2011)",,,,,,,
"4. ""Doctor Strange"" (2016)",,,,,,,
"5. ""The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"" (2005)",,,,,,,
,,,,,,,
**Milla Jovovich**:,,,,,,,
"1. ""The Fifth Element"" (1997)",,,,,,,
"2. ""Resident Evil"" series (2002-2016)",,,,,,,
"3. ""Joan of Arc"" (1999)",,,,,,,
"4. ""Zoolander"" (2001)",,,,,,,
"5. ""Dazed and Confused"" (1993)",,,,,,,
,,,,,,,
**Faye Dunaway**:,,,,,,,
"1. ""Bonnie and Clyde"" (1967)",,,,,,,
"2. ""Chinatown"" (1974)",,,,,,,
"3. ""Network"" (1976)",,,,,,,
"4. ""Mommie Dearest"" (1981)",,,,,,,
"5. ""The Thomas Crown Affair"" (1968)",,,,,,,
,,,,,,,
"Of course, here are the next set of actresses along with 5 movies for each:",,,,,,,
,,,,,,,
**Scarlett Johansson**:,,,,,,,
"1. ""Lost in Translation"" (2003)",,,,,,,
"2. ""The Avengers"" (2012)",,,,,,,
"3. ""Her"" (2013)",,,,,,,
"4. ""Marriage Story"" (2019)",,,,,,,
"5. ""Under the Skin"" (2013)",,,,,,,
,,,,,,,
**Angelina Jolie**:,,,,,,,
"1. ""Girl, Interrupted"" (1999)",,,,,,,
"2. ""Lara Croft: Tomb Raider"" (2001)",,,,,,,
"3. ""Maleficent"" (2014)",,,,,,,
"4. ""Changeling"" (2008)",,,,,,,
"5. ""Salt"" (2010)",,,,,,,
,,,,,,,
**Brie Larson**:,,,,,,,
"1. ""Room"" (2015)",,,,,,,
"2. ""Captain Marvel"" (2019)",,,,,,,
"3. ""Short Term 12"" (2013)",,,,,,,
"4. ""Scott Pilgrim vs. the World"" (2010)",,,,,,,
"5. ""The Glass Castle"" (2017)",,,,,,,
,,,,,,,
**Rosamund Pike**:,,,,,,,
"1. ""Gone Girl"" (2014)",,,,,,,
"2. ""Pride & Prejudice"" (2005)",,,,,,,
"3. ""Die Another Day"" (2002)",,,,,,,
"4. ""A Private War"" (2018)",,,,,,,
"5. ""Hostiles"" (2017)",,,,,,,
,,,,,,,
**Anna Kendrick**:,,,,,,,
"1. ""Up in the Air"" (2009)",,,,,,,
"2. ""Pitch Perfect"" series (2012-2017)",,,,,,,
